317 stored-example win candidates; fresh-gating each (n=200)...
  ADOPT task142: 18.61 -> 19.36 (+0.74) [fresh OK]
  ADOPT task070: 16.25 -> 16.99 (+0.74) [fresh OK]
  ADOPT task129: 19.88 -> 20.62 (+0.74) [fresh OK]
  ADOPT task063: 16.65 -> 17.39 (+0.74) [fresh OK]
  ADOPT task156: 16.80 -> 17.54 (+0.74) [fresh OK]
  ADOPT task348: 16.54 -> 17.25 (+0.71) [fresh OK]
  ADOPT task282: 18.20 -> 18.90 (+0.70) [fresh OK]
  ADOPT task032: 17.50 -> 18.19 (+0.69) [fresh OK]
  ADOPT task155: 19.26 -> 19.94 (+0.68) [fresh OK]
  ADOPT task378: 15.90 -> 16.57 (+0.68) [fresh OK]
  ADOPT task273: 16.65 -> 17.32 (+0.67) [fresh OK]
  ADOPT task139: 17.53 -> 18.19 (+0.66) [fresh OK]
  ADOPT task103: 20.25 -> 20.91 (+0.66) [fresh OK]
  ADOPT task327: 17.56 -> 18.22 (+0.66) [fresh OK]
  ADOPT task234: 15.51 -> 16.16 (+0.65) [fresh OK]
  ADOPT task012: 16.64 -> 17.28 (+0.64) [fresh OK]
  ADOPT task257: 18.35 -> 18.99 (+0.64) [fresh OK]
  ADOPT task030: 16.59 -> 17.22 (+0.63) [fresh OK]
  ADOPT task026: 19.07 -> 19.70 (+0.63) [fresh OK]
  ADOPT task393: 19.41 -> 20.03 (+0.62) [fresh OK]
  ADOPT task183: 17.26 -> 17.89 (+0.62) [fresh OK]
  ADOPT task177: 16.13 -> 16.75 (+0.62) [fresh OK]
  ADOPT task256: 16.39 -> 17.01 (+0.62) [fresh OK]
  ADOPT task347: 19.45 -> 20.04 (+0.59) [fresh OK]
  ADOPT task135: 19.11 -> 19.70 (+0.59) [fresh OK]
  ADOPT task148: 15.67 -> 16.25 (+0.58) [fresh OK]
  ADOPT task105: 16.37 -> 16.95 (+0.58) [fresh OK]
  ADOPT task226: 17.03 -> 17.60 (+0.57) [fresh OK]
  ADOPT task161: 15.88 -> 16.44 (+0.56) [fresh OK]
  ADOPT task147: 18.19 -> 18.72 (+0.54) [fresh OK]
  ADOPT task072: 18.43 -> 18.96 (+0.53) [fresh OK]
  ADOPT task042: 16.44 -> 16.96 (+0.51) [fresh OK]
  ADOPT task295: 17.11 -> 17.62 (+0.51) [fresh OK]
  ADOPT task064: 14.99 -> 15.49 (+0.50) [fresh OK]
  ADOPT task108: 17.62 -> 18.12 (+0.50) [fresh OK]
  ADOPT task198: 14.67 -> 15.17 (+0.49) [fresh OK]
  ADOPT task245: 16.58 -> 17.07 (+0.49) [fresh OK]
  ADOPT task174: 15.28 -> 15.77 (+0.48) [fresh OK]
  ADOPT task152: 18.08 -> 18.56 (+0.48) [fresh OK]
  ADOPT task186: 19.89 -> 20.37 (+0.48) [fresh OK]
  ADOPT task050: 16.24 -> 16.71 (+0.47) [fresh OK]
  ADOPT task074: 15.41 -> 15.86 (+0.45) [fresh OK]
  ADOPT task399: 20.04 -> 20.49 (+0.44) [fresh OK]
  ADOPT task322: 19.26 -> 19.70 (+0.44) [fresh OK]
  ADOPT task304: 17.30 -> 17.73 (+0.43) [fresh OK]
  ADOPT task388: 16.74 -> 17.17 (+0.43) [fresh OK]
  ADOPT task006: 19.55 -> 19.97 (+0.42) [fresh OK]
  ADOPT task381: 16.89 -> 17.30 (+0.41) [fresh OK]
  ADOPT task377: 15.28 -> 15.69 (+0.41) [fresh OK]
  ADOPT task246: 16.62 -> 17.03 (+0.41) [fresh OK]
  ADOPT task336: 16.86 -> 17.26 (+0.40) [fresh OK]
  ADOPT task249: 18.94 -> 19.34 (+0.40) [fresh OK]
  ADOPT task067: 20.75 -> 21.15 (+0.40) [fresh OK]
  ADOPT task386: 19.26 -> 19.65 (+0.39) [fresh OK]
  ADOPT task084: 17.00 -> 17.38 (+0.38) [fresh OK]
  ADOPT task014: 15.63 -> 16.00 (+0.38) [fresh OK]
  ADOPT task190: 16.69 -> 17.06 (+0.37) [fresh OK]
  ADOPT task204: 15.26 -> 15.62 (+0.37) [fresh OK]
  REJECT task319: theirs 14.94 FRESH=False (overfit/non-general — kept ours 14.58)
  ADOPT task323: 16.97 -> 17.31 (+0.35) [fresh OK]
  ADOPT task376: 19.43 -> 19.77 (+0.34) [fresh OK]
  ADOPT task254: 17.52 -> 17.86 (+0.34) [fresh OK]
  ADOPT task094: 16.76 -> 17.09 (+0.34) [fresh OK]
  ADOPT task111: 18.39 -> 18.72 (+0.33) [fresh OK]
  ADOPT task061: 17.25 -> 17.58 (+0.33) [fresh OK]
  ADOPT task192: 15.62 -> 15.94 (+0.32) [fresh OK]
  ADOPT task395: 19.59 -> 19.89 (+0.30) [fresh OK]

=== ADOPTED 313 fresh-verified nets, +431.6 stored ===
REJECTED 4 that failed fresh generalization (protected real LB)
TOTAL: 7135.87 pts, 400/400 solved
